Cedar Mini Joystick,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V0.9,,Last Updated: 2023-June-30,,,,,, $42.74 , $64.33 ,4.88,40.7,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,Joystick (PS2),Electrical,1,10, $23.99 ,1, $2.40 , $2.40 , $23.99 ,https://www.amazon.ca/dp/B089VXPHDH?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_GGTEDME4PM2P27SG86P7 ,,,
,"USB-C cable, 6 ft (can buy this locally)",Electrical,1,1, $3.18 ,1, $3.18 , $3.18 , $3.18 ,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50053/13177348 ,,,
,Adafruit QT Py SAMD21,Electrical,1,1, $10.79 ,1, $10.79 , $10.79 , $10.79 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375 ,,,
,"3.5 mm mono jack, panel mount",Electrical,3,1, $2.32 ,3, $2.32 , $6.96 , $6.96 ,https://www.digikey.ca/en/products/detail/cui-devices/MJ-3502/281321 ,,,
,"Slide switch, right angle",Electrical,1,1, $0.75 ,1, $0.75 , $0.75 , $0.75 ,https://www.digikey.ca/en/products/detail/c-k/OS102011MA1QS1/1981431 ,,,
,"Right angle female header, 5 position",Electrical,1,1, $0.93 ,1, $0.93 , $0.93 , $0.93 ,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC051LGBN-RC/775899 ,,,
,"Female header, 7 position, single row, 0.100""",Electrical,2,1, $0.85 ,2, $0.85 , $1.70 , $1.70 ,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC071LFBN-RC/810146 ,,,
,"#4 Metal Screw, 3/8? Length (if building more than one, link below)",Mechanical,8,1, $0.60 ,8, $0.60 , $4.80 , $4.80 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599 ,,,
,"Wire, 1 foot, colour 1",Electrical,1,1, $0.70 ,1, $0.70 , $0.70 , $0.70 ,https://www.digikey.ca/en/products/detail/cnc-tech/3122-24-1-0500-007-1-TS/16396741 ,,,
,"Wire, 1 foot, colour 2",Electrical,1,1, $0.72 ,1, $0.72 , $0.72 , $0.72 ,https://www.digikey.ca/en/products/detail/cnc-tech/1569-26-1-0500-003-1-TS/15853701 ,,,
,Ziptie,Mechanical,1,1, $0.25 ,1, $0.25 , $0.25 , $0.25 ,https://www.digikey.ca/en/products/detail/te-connectivity/2-604771-9/2259327 ,,,
,M3 hex nut x2,Mechanical,2,1, $0.27 ,2, $0.27 , $0.54 , $0.54 ,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301 ,,,
,(Optional for mount) M3x12mm screw x2,Mechanical,0,1, $1.11 ,0, $1.11 , $-   , $-   ,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X12MM-2701/2063201 ,,,
,(Optional for mount) Tee nut,Mechanical,0,1, $0.48 ,0, $0.48 , $-   , $-   ,https://www.homedepot.ca/product/paulin-1-4-inch-20-tee-nuts-4-prong-5-16-inch-barrel-length/1000129429 ,,,
,Digikey shipping (if spending less than $100),Shipping,1,1, $8.00 ,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Enclosure bottom,PLA,1,20.2,149,,149, $0.51 ,,,,,
,Enclosure top,PLA,1,11.9,79,,79, $0.30 ,,,,,
,3D PCB,PLA,1,8.0,57,,57, $0.20 ,,,,,
,Slide switch ,PLA,1,0.6,8,,8, $0.02 ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,"#4 Metal Screw, 3/8? Length, 100 pack",Electrical,8,100, $9.30 ,1, $0.09 , $0.74 , $9.30 ,https://a.co/d/523bJeL ,,,
,"USB-C cable, 3 feet",Electrical,1,1, $9.50 ,1, $9.50 , $9.50 , $9.50 ,https://a.co/d/97Y71JT ,,,
,"USB-C cable, 6 feet, 2 pack",Electrical,1,2, $12.99 ,1, $6.50 , $6.50 , $12.99 ,https://a.co/d/6UE2og9 ,,,
,"USB-C cable, 6 feet, 5 pack",Electrical,1,5, $19.99 ,1, $4.00 , $4.00 , $19.99 ,https://a.co/d/b3qG7jC ,,,
,Zip tie,Mechanical,1,1, $0.15 ,1, $0.15 , $0.15 , $0.15 ,https://www.digikey.ca/en/products/detail/heyco-products-corporation/13123B/15791902 ,,,
